iter	Passed	Remaining
934	85938	5974
935	86030	5882
936	86123	5790
937	86217	5698
938	86297	5606
939	86389	5514
940	86489	5422
941	86582	5330
942	86672	5238
943	86757	5146
944	86836	5053
945	86931	4962
946	87031	4870
947	87137	4779
948	87225	4687
949	87311	4595
950	87406	4503
951	87498	4411
952	87598	4320
953	87691	4228
954	87766	4135
955	87874	4044
956	87958	3952
957	88047	3860
958	88129	3767
959	88220	3675
960	88311	3583
961	88404	3492
962	88502	3400
963	88603	3308
964	88690	3216
965	88769	3124
966	88854	3032
967	88946	2940
968	89033	2848
969	89129	2756
970	89213	2664
971	89307	2572
972	89391	2480
973	89485	2388
974	89572	2296
975	89672	2205
976	89766	2113
977	89871	2021
978	89958	1929
979	90043	1837
980	90132	1745
981	90226	1653
982	90322	1562
983	90412	1470
984	90500	1378
985	90592	1286
986	90679	1194
987	90772	1102
988	90860	1010
989	90958	918
990	91045	826
991	91128	734
992	91235	643
993	91328	551
994	91423	459
995	91514	367
996	91603	275
997	91700	183
998	91788	91
999	91883	0
